schedule_id,block_id,duty_id,driver_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
448,2,2,2,2,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:30,05:31,61,1,1,5431;5439,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,2,2,2,,2,3,4,driver_vehicle_change,Troca de veículo,driver,05:31,05:31,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,,2,3,5,driver_vehicle_change,Troca de veículo,driver,05:31,05:31,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,,2,3,6,normal_break,Intervalo normal,driver,05:31,05:45,14,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,2,2,3,,,7,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:45,06:11,26,1,1,5447;5450,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,3,2,2,,3,3,8,normal_break,Intervalo normal,driver,06:11,06:26,15,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,2,2,3,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:26,06:53,27,1,1,5463;5468,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,3,2,2,,3,3,10,normal_break,Intervalo normal,driver,06:53,07:10,17,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,2,2,3,,,11,commercial_trip_bundle,Viagem agrupada,driver_vehicle,07:10,07:39,29,1,1,5482;5487,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,3,2,2,,3,2,12,driver_vehicle_change,Troca de veículo,driver,07:39,07:39,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,2,2,,3,2,13,driver_vehicle_change,Troca de veículo,driver,07:39,07:39,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,2,2,,3,2,14,normal_break,Intervalo normal,driver,07:39,08:00,21,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,2,2,2,2,,,15,commercial_trip_bundle,Viagem agrupada,driver_vehicle,08:00,09:11,71,1,1,5507;5516,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,2,2,2,,2,6,16,driver_vehicle_change,Troca de veículo,driver,09:11,09:11,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,,2,6,17,driver_vehicle_change,Troca de veículo,driver,09:11,09:11,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,,2,6,18,normal_break,Intervalo normal,driver,09:11,09:35,24,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,6,2,2,6,,,19,commercial_trip_bundle,Viagem agrupada,driver_vehicle,09:35,09:55,20,1,1,5525;5527,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
