schedule_id,duty_id,driver_id,driver_display_name,operator_not_assigned,duty_start,duty_end,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,mandatory_rest_required,has_valid_mandatory_rest,issue_severity,issue_codes,issue_explanation,explanation
448,1,1,Operador não atribuído (D1),True,04:20,13:26,19,driver_vehicle_change,Troca de veículo,driver,,,08:59,08:59,0,,,0,1,1,,8,7,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,20,normal_break,Intervalo normal,driver,,,08:59,09:11,12,,,0,1,1,,8,7,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,21,commercial_trip,Viagem,trip,1048,IDA,09:11,09:23,12,5518,5518,1,1,2,7,,,11,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,21,commercial_trip,Viagem,trip,1048,VOLTA,09:23,09:31,8,5521,5521,1,2,1,7,,,12,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,22,driver_vehicle_change,Troca de veículo,driver,,,09:31,09:31,0,,,0,1,1,,7,11,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,23,driver_vehicle_change,Troca de veículo,driver,,,09:31,09:31,0,,,0,1,1,,7,11,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,24,normal_break,Intervalo normal,driver,,,09:31,10:05,34,,,0,1,1,,7,11,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,25,commercial_trip,Viagem,trip,1067,IDA,10:05,10:48,43,5541,5541,1,1,2,11,,,13,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,25,commercial_trip,Viagem,trip,1067,VOLTA,10:48,11:14,26,5549,5549,1,2,1,11,,,14,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,26,driver_vehicle_change,Troca de veículo,driver,,,11:14,11:14,0,,,0,1,1,,11,12,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
