schedule_id,block_id,duty_id,driver_id,driver_display_name,operator_not_assigned,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,duty_start,duty_end,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,mandatory_rest_required,has_valid_mandatory_rest,rule_code,violation_code,issue_severity,issue_codes,issue_explanation,explanation
448,8,1,1,Operador não atribuído (D1),True,,8,7,20,normal_break,Intervalo normal,driver,04:20,13:26,08:59,09:11,12,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,7,1,1,Operador não atribuído (D1),True,7,,,21,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:26,09:11,09:31,20,1,1,5518;5521,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,7,1,1,Operador não atribuído (D1),True,,7,11,22,driver_vehicle_change,Troca de veículo,driver,04:20,13:26,09:31,09:31,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,1,1,Operador não atribuído (D1),True,,7,11,23,driver_vehicle_change,Troca de veículo,driver,04:20,13:26,09:31,09:31,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,1,1,Operador não atribuído (D1),True,,7,11,24,normal_break,Intervalo normal,driver,04:20,13:26,09:31,10:05,34,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,11,1,1,Operador não atribuído (D1),True,11,,,25,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:26,10:05,11:14,69,1,1,5541;5549,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,11,1,1,Operador não atribuído (D1),True,,11,12,26,driver_vehicle_change,Troca de veículo,driver,04:20,13:26,11:14,11:14,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,11,1,1,Operador não atribuído (D1),True,,11,12,27,driver_vehicle_change,Troca de veículo,driver,04:20,13:26,11:14,11:14,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,11,1,1,Operador não atribuído (D1),True,,11,12,28,mandatory_rest,Descanso obrigatório,driver,04:20,13:26,11:14,12:55,101,1,1,,0,False,False,False,False,True,False,False,True,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,12,1,1,Operador não atribuído (D1),True,12,,,29,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:26,12:55,13:26,31,1,1,5578;5581,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
