schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
428,11,97,,11,30,normal_break,Intervalo normal,17:07,17:39,32,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,11,97,,11,31,commercial_trip,Viagem,17:39,17:55,16,1,2,5648,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,11,97,,11,32,commercial_trip,Viagem,17:55,18:03,8,2,1,5651,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,1,commercial_trip,Viagem,04:35,04:43,8,1,2,5427,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,2,commercial_trip,Viagem,04:43,04:48,5,2,1,5428,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,3,idle,Ociosa,04:48,05:04,16,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,4,commercial_trip,Viagem,05:04,05:16,12,1,2,5434,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,5,commercial_trip,Viagem,05:16,05:22,6,2,1,5435,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,6,idle,Ociosa,05:22,05:40,18,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,7,commercial_trip,Viagem,05:40,06:16,36,1,2,5453,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,8,commercial_trip,Viagem,06:16,06:42,26,2,1,5464,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,3,98,,3,9,idle,Ociosa,06:42,06:59,17,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,98,,5,10,commercial_trip,Viagem,06:59,07:10,11,1,2,5476,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,98,,5,11,commercial_trip,Viagem,07:10,07:19,9,2,1,5480,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,98,,5,12,idle,Ociosa,07:19,07:40,21,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,13,commercial_trip,Viagem,07:40,08:32,52,1,2,5503,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,14,commercial_trip,Viagem,08:32,08:59,27,2,1,5511,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,15,idle,Ociosa,08:59,09:15,16,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,98,,6,16,commercial_trip,Viagem,09:15,09:31,16,1,2,5520,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,98,,6,17,commercial_trip,Viagem,09:31,09:43,12,2,1,5524,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,98,,6,18,idle,Ociosa,09:43,10:05,22,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,19,commercial_trip,Viagem,10:05,10:48,43,1,2,5541,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,20,commercial_trip,Viagem,10:48,11:14,26,2,1,5549,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,21,normal_break,Intervalo normal,11:14,11:45,31,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,22,commercial_trip,Viagem,11:45,12:24,39,1,2,5565,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,23,commercial_trip,Viagem,12:24,12:50,26,2,1,5572,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,24,idle,Ociosa,12:50,13:11,21,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,25,commercial_trip,Viagem,13:11,13:25,14,1,2,5580,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,26,commercial_trip,Viagem,13:25,13:32,7,2,1,5582,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,98,,1,27,normal_break,Intervalo normal,13:32,14:10,38,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,28,commercial_trip,Viagem,14:10,14:26,16,1,2,5595,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,29,commercial_trip,Viagem,14:26,14:37,11,2,1,5599,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,9,98,,9,30,idle,Ociosa,14:37,15:05,28,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,15,98,,15,31,commercial_trip,Viagem,15:05,15:48,43,1,2,5615,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,15,98,,15,32,commercial_trip,Viagem,15:48,16:17,29,2,1,5623,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,15,98,,15,33,idle,Ociosa,16:17,16:45,28,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,34,commercial_trip,Viagem,16:45,16:59,14,1,2,5634,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,35,commercial_trip,Viagem,16:59,17:07,8,2,1,5636,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,98,,4,36,normal_break,Intervalo normal,17:07,17:40,33,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,98,,10,37,commercial_trip,Viagem,17:40,18:00,20,1,2,5650,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,98,,10,38,commercial_trip,Viagem,18:00,18:11,11,2,1,5653,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,99,,4,1,commercial_trip,Viagem,04:45,04:58,13,1,2,5430,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,99,,4,2,commercial_trip,Viagem,04:58,05:07,9,2,1,5432,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,99,,4,3,idle,Ociosa,05:07,05:29,22,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
